"Name","Team","Pos","GP","G","A","P","+/-","PIM","PPP","SHp","Ht","GA","TA","SOG","S%","SB","ATOI","APPT","APKT","FO%"
"Jared Spurgeon","Sharks","RD/LD",34,0,4,4,-13,14,0,1,19,14,19,22,"0",71,"16:27","0:01","2:29","0"
"Libor Hajek","Predators","LD",23,2,1,3,-1,4,0,0,30,11,28,16,"13",20,"12:46","0:00","0:06","0"
"Ondrej Palat","Syracuse","LW",20,2,1,3,-16,6,0,0,24,5,16,23,"9",57,"15:39","0:09","3:09","25"
"Martin Fehervary","Red Wings","LD",21,1,2,3,-5,2,0,0,39,11,22,25,"4",57,"15:33","0:08","2:40","0"
"Tommy Novak","Oilers","C",33,1,2,3,-23,10,0,0,23,4,4,14,"7",18,"11:48","0:00","0:00","46"
"Davis Dhooghe","Lightning","LD",15,0,3,3,-1,2,0,0,30,3,7,9,"0",8,"12:02","0:00","0:01","0"
"Lucas Wallmark","Lightning","C",21,0,3,3,-16,2,0,0,15,4,2,16,"0",21,"11:45","0:00","0:00","45"
"Nick Jensen","Bruins","RD",28,0,3,3,1,6,0,0,32,9,15,29,"0",36,"14:48","0:00","0:38","0"
"Jesperi Kartano","Predators","LD/RD",36,0,3,3,-18,6,0,0,80,27,42,38,"0",81,"16:55","0:01","2:19","0"
"Brendan Guhle","Lightning","LD",20,0,3,3,-15,10,0,0,36,6,14,21,"0",47,"14:49","0:00","2:01","0"
"Jacob Elmore","Kings","LD/RD",35,0,3,3,-1,14,0,0,57,19,46,24,"0",37,"14:56","0:00","1:53","0"
"Domenic Germain","Rockford","RD",28,0,3,3,-4,14,0,0,28,18,20,24,"0",53,"15:30","0:00","1:47","0"
"Kaleb Roy","Blues","RD",26,0,3,3,0,16,0,0,55,10,13,20,"0",22,"12:48","0:00","0:09","0"
"Zach Bogosian","Sabres","RD/LD",35,0,3,3,-7,16,0,0,59,13,17,22,"0",64,"15:53","0:00","2:15","0"
